Site ID,Date,On Road,Direction,Ref Road,Travel,ADT 2020,AM Hour,AM Volume,PM Hour,PM Volume,2019,2018,2017,2016,,,,,,,,
7350,5/11/2020,99th Ave,N,McDowell Rd,B,9171,11:00 AM,600,1:45 PM,842,10368,17172,10918,14462,,,,,,,,
7202,5/11/2020,99th Ave,S,Northern Ave,B,5166,8:00 AM,308,3:45 PM,445,5942,3705,5318,4886,,,,,,,,
3040,1/6/2020,99th Ave,N,Olive Ave,N,3016,7:45 AM,264,1:45 PM,250,2970,2849,2897,2641,,,,,,,,
3041,1/6/2020,99th Ave,N ,Olive Ave,S ,3635,11:15 AM,255,4:45 PM,363,2970,3399,3186,2934,,,,,,,,
7029,1/13/2020,99th Ave,S,Olive Ave,B,4380,11:15 AM,271,5:00 PM,550,3944,4544,3543,2835,,,,,,,,
3037,1/8/2020,99th Ave,N ,Peoria Ave,N ,6678,11:15 AM,546,4:00 PM,539,6599,7019,6540,6743,,,,,,,,
3036,1/8/2020,99th Ave,N,Peoria Ave,S,6301,11:15 AM,483,4:15 PM,549,6134,4546,5694,6102,,,,,,,,
3038,1/15/2020,99th Ave,S,Peoria Ave,N,3663,7:30 AM,320,1:30 PM,302,3443,3460,3714,3731,,,,,,,,
3039,1/15/2020,99th Ave,S ,Peoria Ave,S ,4015,10:30 AM,264,4:15 PM,405,3674,3802,3916,3571,,,,,,,,
7057,3/9/2020,99th Ave,N,Saddle Ridge Dr,N,5620,11:15 AM,455,4:45 PM,506,5757,6144,4228,7610,,,,,,,,
7058,3/9/2020,99th Ave,N,Saddle Ridge Dr,S,5253,8:15 AM,438,2:00 PM,499,5492,5555,3833,4874,,,,,,,,
3034,1/15/2020,99th Ave,N,Sun City Blvd,N,5587,7:45 AM,436,12:45 PM,475,5293,5214,5044,4852,,,,,,,,
3035,1/15/2020,99th Ave,N ,Sun City Blvd,S ,6932,11:15 AM,661,4:15 PM,674,5160,5138,4874,5652,,,,,,,,
7351,5/11/2020,99th Ave,N,Thomas Rd,B,11502,7:45 AM,724,3:00 PM,1006,10752,10998,10420,7960,,,,,,,,
